N,anchor,hub_edges,hub_cost,weighting,metric,rank,node,is_prime,observed,null_mean,null_sd,null_min,null_max,z,p_empirical,null_degenerate,n_null_samples,pivots
1000,2,True,0.1,padic,betweenness,7,17,True,0.026620741482965962,0.022222954241816972,0.005787336072490194,0.011644956579826322,0.040341933867735394,0.7598983687941765,0.32,False,100,200
1000,2,True,0.1,padic,betweenness,8,29,True,0.016651636606546418,0.012016495490981967,0.0042955254642586356,0.00384686038744155,0.02163911155644624,1.0790626558104761,0.32,False,100,200
1000,2,True,0.1,padic,betweenness,9,19,True,0.014468102872411487,0.01890354876419506,0.004889745387449551,0.008619739478957925,0.030654642618570496,-0.9070913800886181,0.42,False,100,200
1000,2,True,0.1,padic,betweenness,10,23,True,0.01158233132932531,0.014922044088176357,0.0044119427515726724,0.006348947895791583,0.03306947227788916,-0.7569710095763537,0.44,False,100,200
1000,2,True,0.1,padic,betweenness,11,43,True,0.008814295257181042,0.006970662157648632,0.0026672018229892992,0.001480460921843687,0.013421426185704743,0.6912236950506198,0.48,False,100,200
1000,2,True,0.1,padic,betweenness,12,37,True,0.008763360053440222,0.009478690714762863,0.0036079815668937885,0.002850701402805609,0.020717267869071507,-0.19826339133392265,0.9,False,100,200
1000,2,True,0.1,padic,betweenness,13,53,True,0.00853790915163658,0.005622724615898466,0.0026654354035374373,0.0011364395457581853,0.013280728122912493,1.0936991877084032,0.28,False,100,200
1000,2,True,0.1,padic,betweenness,14,47,True,0.008157982631930537,0.007612262024048098,0.00364728489382912,0.002403974615898466,0.019706913827655267,0.14962379517041444,0.8,False,100,200
1000,2,True,0.1,padic,betweenness,15,31,True,0.007701235804943223,0.011988836005344023,0.004979401809424324,0.0031078824315297245,0.025200400801603223,-0.86106732585545,0.42,False,100,200
1000,2,True,0.1,padic,betweenness,16,61,True,0.006902972611890446,0.005088435203740816,0.002641377304095289,0.0006362725450901787,0.011555611222444893,0.6869663812649185,0.52,False,100,200
1000,2,True,0.1,padic,betweenness,17,59,True,0.0064328657314629036,0.0052055736472945875,0.002907623694295205,0.00048096192384769563,0.013405561122244492,0.4220945394606176,0.68,False,100,200
1000,2,True,0.1,padic,betweenness,18,73,True,0.006099699398797595,0.00398304525718103,0.002237945052684721,0.0003365063460253846,0.010397461589846373,0.9458025517996304,0.36,False,100,200
1000,2,True,0.1,padic,betweenness,19,83,True,0.00562625250501002,0.003620933533734137,0.002320511678619569,0.000332331329325318,0.011485470941883772,0.8641710316531618,0.36,False,100,200
1000,2,True,0.1,padic,betweenness,20,107,True,0.0051578156312625245,0.0027304901469605903,0.0022373642314612962,1.3360053440213759e-05,0.011847027388109612,1.0849040358156472,0.24,False,100,200
1000,2,False,0.1,padic,degree,1,2,True,499.0,499.0,0.0,499.0,499.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree,2,3,True,332.0,332.0,0.0,332.0,332.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree,3,5,True,199.0,199.0,0.0,199.0,199.0,0.0,1.0,True,100,200
