node,is_prime,degree,degree_weighted,eigenvector,eigenvector_costweight,pagerank,betweenness,p_index,N,anchor,hub_edges,hub_cost,weighting
690,False,4.0,4.0,0.04340479848860962,0.043404798489343886,0.0009247398446158041,0.002040158723831256,,1000,2,False,0.1,uniform
780,False,4.0,4.0,0.044481806307485466,0.04448180630801196,0.0009209636344760976,0.002174942634360178,,1000,2,False,0.1,uniform
840,False,4.0,4.0,0.046888092343745386,0.04688809234377295,0.0009200852326670904,0.0023467901443539356,,1000,2,False,0.1,uniform
870,False,4.0,4.0,0.04314296001717606,0.043142960018358795,0.0009279969146089063,0.001927218603170438,,1000,2,False,0.1,uniform
924,False,4.0,4.0,0.04255265981732185,0.04255265981674304,0.0009194240105265367,0.002129574942294708,,1000,2,False,0.1,uniform
930,False,4.0,4.0,0.04307822225223043,0.04307822224918977,0.000929565215566588,0.0019428662390318584,,1000,2,False,0.1,uniform
990,False,4.0,4.0,0.0449691601281435,0.04496916012762397,0.00092041943773919,0.002219219223583207,,1000,2,False,0.1,uniform
2,True,666.0,2015.8804430994135,0.7019233665596053,0.6779485372483608,0.13638865250465074,0.9580642767015513,0.5,1000,2,True,0.1,log
3,True,333.0,374.73927983781175,0.06416973766089787,0.18336398705184395,0.033803207096960844,0.057185441954981035,0.3333333333333333,1000,2,True,0.1,log
5,True,200.0,330.2781445743848,0.06301546160028187,0.0678672974124019,0.02953403755771574,0.0880138655689758,0.2,1000,2,True,0.1,log
7,True,142.0,284.37333101679945,0.06173930806639177,0.03963149722964858,0.025162748866576132,0.10319136772042584,0.14285714285714285,1000,2,True,0.1,log
11,True,90.0,223.4126792790547,0.05996617248313706,0.021060918096674933,0.019467547584992115,0.0966999063191448,0.09090909090909091,1000,2,True,0.1,log
13,True,76.0,202.37120180961523,0.05935216916008855,0.016979955127743536,0.01750461906743792,0.09396370318214006,0.07692307692307693,1000,2,True,0.1,log
17,True,58.0,171.49316061120442,0.05841585567660241,0.012313574284487086,0.014712012702584288,0.08409612016826445,0.058823529411764705,1000,2,True,0.1,log
19,True,52.0,160.16638793748842,0.05808515582757326,0.01089027989168119,0.013655147340891415,0.08203995578745078,0.05263157894736842,1000,2,True,0.1,log
23,True,43.0,141.69075706902444,0.05751908751974084,0.00875358674682367,0.011915303617212228,0.07080226519104274,0.043478260869565216,1000,2,True,0.1,log
29,True,34.0,121.12076238955365,0.056889123180475475,0.007066366216464547,0.010160558393896846,0.061943707234288395,0.034482758620689655,1000,2,True,0.1,log
31,True,32.0,116.45360333903959,0.05673008239261265,0.006663956878772387,0.009764985534166472,0.06019847502813435,0.03225806451612903,1000,2,True,0.1,log
